date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:29:31	6348/6348	---M--	200	added ('OK')	font/ttf	date:Sun,%2008%20Mar%202020%2002:26:16%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/Flaticon.ttf	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/Flaticon.ttf	(from https://templatemanja.com/tashan/demo/assets/css/flaticon.css)
22:29:33	39536/39536	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2008%20Mar%202020%2002:26:16%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/Flaticon.svg	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/Flaticon.svg	(from https://templatemanja.com/tashan/demo/assets/css/flaticon.css)
22:29:33	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Mar%202023%2016:59:57%20GMT	https://templatemanja.com/tashan/demo/assets/owlcarousel/css/owl.video.play.png	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/owlcarousel/css/owl.video.play.81.delayed	(from https://templatemanja.com/tashan/demo/assets/owlcarousel/css/owl.carousel.min.css)
22:29:35	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Mar%202023%2016:59:58%20GMT	https://templatemanja.com/tashan/demo/assets/owlcarousel/css/AjaxLoader.gif	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/owlcarousel/css/AjaxLoader.82.delayed	(from https://templatemanja.com/tashan/demo/assets/owlcarousel/css/owl.theme.css)
22:29:36	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Mar%202023%2016:59:59%20GMT	https://templatemanja.com/tashan/demo/assets/css/ajax-loader.gif	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/css/ajax-loader.83.delayed	(from https://templatemanja.com/tashan/demo/assets/css/slick-theme.css)
22:29:37	145142/145142	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2028%20Aug%202019%2000:05:52%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/fa-regular-400.svg	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/fa-regular-400.svg	(from https://templatemanja.com/tashan/demo/assets/css/all.min.css)
22:29:46	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Mar%202023%2017:00:03%20GMT	https://templatemanja.com/tashan/demo/assets/css/fonts/slick.eot	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/css/fonts/slick.84.delayed	(from https://templatemanja.com/tashan/demo/assets/css/slick-theme.css)
22:29:47	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Mar%202023%2017:00:05%20GMT	https://templatemanja.com/tashan/demo/assets/css/fonts/slick.eot?	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/css/fonts/slick.85d41d.delayed	(from https://templatemanja.com/tashan/demo/assets/css/slick-theme.css)
22:29:49	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Mar%202023%2017:00:12%20GMT	https://templatemanja.com/tashan/demo/assets/css/fonts/slick.woff	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/css/fonts/slick.86.delayed	(from https://templatemanja.com/tashan/demo/assets/css/slick-theme.css)
22:29:50	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Mar%202023%2017:00:08%20GMT	https://templatemanja.com/tashan/demo/assets/css/fonts/slick.ttf	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/css/fonts/slick.87.delayed	(from https://templatemanja.com/tashan/demo/assets/css/slick-theme.css)
22:29:55	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Mar%202023%2017:00:18%20GMT	https://templatemanja.com/tashan/demo/assets/css/fonts/slick.svg	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/css/fonts/slick.88.delayed	(from https://templatemanja.com/tashan/demo/assets/css/slick-theme.css)
22:29:57	15797/15797	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Dec%202019%2018:41:18%20GMT	https://templatemanja.com/tashan/demo/assets/images/close.png	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/close.png	(from https://templatemanja.com/tashan/demo/assets/css/style.css)
22:29:58	4491/4491	---M--	200	added ('OK')	image/png	date:Sun,%2008%20Mar%202020%2001:37:58%20GMT	https://templatemanja.com/tashan/demo/assets/images/pattern.png	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/pattern.png	(from https://templatemanja.com/tashan/demo/assets/css/style.css)
22:29:59	4510/4510	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Mar%202020%2020:09:30%20GMT	https://templatemanja.com/tashan/demo/assets/images/pattern2.png	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/pattern2.png	(from https://templatemanja.com/tashan/demo/assets/css/style.css)
22:30:01	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Mar%202023%2017:00:24%20GMT	https://templatemanja.com/tashan/demo/assets/images/shape12.png	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/shape12.8c.delayed	(from https://templatemanja.com/tashan/demo/assets/css/style.css)
22:30:02	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Mar%202023%2017:00:26%20GMT	https://templatemanja.com/tashan/demo/assets/images/footer_shape.png	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/footer_shape.8d.delayed	(from https://templatemanja.com/tashan/demo/assets/css/style.css)
22:30:04	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Mar%202023%2017:00:27%20GMT	https://templatemanja.com/tashan/demo/assets/images/pattern_bg2.png	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/pattern_bg2.8e.delayed	(from https://templatemanja.com/tashan/demo/assets/css/style.css)
22:30:05	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Mar%202023%2017:00:29%20GMT	https://templatemanja.com/tashan/demo/assets/images/loading.gif	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/loading.8f.delayed	(from https://templatemanja.com/tashan/demo/assets/css/style.css)
22:30:09	111724/111724	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2019:02:10%20GMT	https://templatemanja.com/tashan/demo/assets/images/about_img2.jpg	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/about_img2.jpg	(from https://templatemanja.com/tashan/demo/index-2.html)
22:30:10	41869/41869	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Mar%202020%2022:35:48%20GMT	https://templatemanja.com/tashan/demo/assets/images/about_img3.jpg	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/about_img3.jpg	(from https://templatemanja.com/tashan/demo/index-2.html)
22:30:11	34980/34980	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Mar%202020%2022:41:04%20GMT	https://templatemanja.com/tashan/demo/assets/images/about_img4.jpg	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/about_img4.jpg	(from https://templatemanja.com/tashan/demo/index-2.html)
22:30:11	1590502/1590502	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Mar%202020%2021:46:40%20GMT	https://templatemanja.com/tashan/demo/assets/images/banner4.jpg	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/banner4.jpg	(from https://templatemanja.com/tashan/demo/index-2.html)
22:30:13	99328/99328	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Mar%202020%2016:40:26%20GMT	https://templatemanja.com/tashan/demo/assets/images/menu_item1.jpg	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/menu_item1.jpg	(from https://templatemanja.com/tashan/demo/index-2.html)
22:30:14	93053/93053	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Mar%202020%2016:41:06%20GMT	https://templatemanja.com/tashan/demo/assets/images/menu_item2.jpg	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/menu_item2.jpg	(from https://templatemanja.com/tashan/demo/index-2.html)
22:30:16	93515/93515	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Mar%202020%2016:41:32%20GMT	https://templatemanja.com/tashan/demo/assets/images/menu_item3.jpg	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/menu_item3.jpg	(from https://templatemanja.com/tashan/demo/index-2.html)
22:30:17	103836/103836	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Mar%202020%2016:42:36%20GMT	https://templatemanja.com/tashan/demo/assets/images/menu_item4.jpg	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/menu_item4.jpg	(from https://templatemanja.com/tashan/demo/index-2.html)
22:30:18	105353/105353	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Mar%202020%2016:44:32%20GMT	https://templatemanja.com/tashan/demo/assets/images/menu_item5.jpg	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/menu_item5.jpg	(from https://templatemanja.com/tashan/demo/index-2.html)
22:30:19	115439/115439	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Mar%202020%2016:48:50%20GMT	https://templatemanja.com/tashan/demo/assets/images/menu_item6.jpg	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/menu_item6.jpg	(from https://templatemanja.com/tashan/demo/index-2.html)
22:30:21	114011/114011	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Mar%202020%2016:49:50%20GMT	https://templatemanja.com/tashan/demo/assets/images/menu_item7.jpg	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/menu_item7.jpg	(from https://templatemanja.com/tashan/demo/index-2.html)
22:30:22	95926/95926	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Mar%202020%2016:51:06%20GMT	https://templatemanja.com/tashan/demo/assets/images/menu_item8.jpg	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/menu_item8.jpg	(from https://templatemanja.com/tashan/demo/index-2.html)
22:30:24	173858/173858	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Mar%202020%2021:54:34%20GMT	https://templatemanja.com/tashan/demo/assets/images/chef.png	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/chef.png	(from https://templatemanja.com/tashan/demo/index-2.html)
